customer_id,name,email,phone,city,category,spend,signup_date,active
C0001,Rahul Sharma,user0@email.com,+917712573811,Pune,nan,2255.57,2024-01-03,No
C0002,Vikram Joshi,user1@email.com,+917217319510,Mumbai,Books,4228.91,2024-03-21,No
C0003,Priya Patel,user2@email.com,,Delhi,nan,21530.98,,Yes
C0004,,user3@email.com,+919204561893,Bangalore,nan,1353.97,2024-01-30,No
C0005,Rahul Sharma,user4@email.com,+919654394497,Pune,Clothing,829.44,2024-01-27,No
C0006,Ananya Gupta,user5@email.com,+919556681470,Mumbai,Home & Kitchen,875.82,2024-01-22,No
C0007,Amit Singh,user6@email.com,+918148279239,Bangalore,Electronics,1678.03,2024-02-08,No
C0008,Rahul Sharma,user7@email.com,+918763636782,Pune,Sports & Fitness,11353.76,2024-06-14,Yes
C0009,Priya Patel,user8@email.com,+919732956452,Delhi,Sports & Fitness,3717.06,2024-01-15,Yes
C0010,,user9@email.com,+917401637027,nan,Books,20193.21,,No
C0011,Vikram Joshi,user10@email.com,+918343754164,Bangalore,Clothing,2536.29,2024-01-04,No
C0012,Priya Patel,,+917845752226,Bangalore,Electronics,10031.22,2024-02-24,No
C0013,Priya Patel,user12@email.com,+917791488571,Mumbai,Clothing,1491.38,2024-03-29,Yes
C0014,Amit Singh,user13@email.com,+918107935033,Delhi,Electronics,5522.8,,No
C0015,Sneha Kapoor,user14@email.com,,Mumbai,Books,4068.25,2024-02-11,Yes
C0016,,user15@email.com,,Delhi,Books,1642.38,2024-02-04,Yes
C0017,Priya Patel,user16@email.com,+917422865762,Delhi,Sports & Fitness,1035.39,2024-04-12,No
C0018,Priya Patel,user17@email.com,+919278889886,Delhi,Clothing,2770.72,2024-03-12,Yes
C0019,Sneha Kapoor,user18@email.com,,Delhi,nan,1388.06,2024-02-23,No
C0020,Priya Patel,user19@email.com,+918372342444,Mumbai,Sports & Fitness,4716.0,2024-01-06,No
C0021,,,+917446666968,Bangalore,Clothing,4352.27,2024-01-09,No
C0022,Rahul Sharma,user21@email.com,+917891529612,Bangalore,Sports & Fitness,3280.61,2024-02-05,No
C0023,Ananya Gupta,user22@email.com,+918811096539,nan,nan,266.07,2024-02-16,No
C0024,Sneha Kapoor,user23@email.com,+917410057301,Delhi,Home & Kitchen,721.75,2024-03-20,No
C0025,,user24@email.com,,Pune,Home & Kitchen,23006.01,2024-03-05,No
C0026,Rahul Sharma,user25@email.com,+917049948975,Delhi,Home & Kitchen,8300.35,2024-04-23,No
C0027,Ananya Gupta,user26@email.com,+917938726445,nan,Home & Kitchen,5720.71,2024-02-10,No
C0028,Amit Singh,,,Pune,nan,4527.23,2024-09-20,Yes
C0029,Rahul Sharma,user28@email.com,+918445772816,nan,Electronics,2653.79,2024-01-03,Yes
C0030,Vikram Joshi,user29@email.com,+917565903375,Bangalore,nan,13262.78,2024-06-04,Yes
C0031,,user30@email.com,+917263400434,Pune,nan,16765.88,2024-02-20,Yes
C0032,Amit Singh,user31@email.com,,Mumbai,nan,6562.76,2024-01-03,No
